Entretien,Thème,Code,Verbatim,Fichier
Lau5,Avantages et limites de ChatGPT dans les études,Utilité pour la structuration des présentations orales,"""Je pense que cette fois, j’utiliserai ChatGPT pour m’aider à structurer la présentation.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Aide à la compréhension de concepts,"""J’ai demandé à ChatGPT de m’expliquer 'l’invention de l’homosexualité' selon l’auteur.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Limite dans la lecture de documents PDF,"""ChatGPT ne peut pas encore lire ces documents [PDF].""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Utilisation comme un moteur de recherche puissant,"""Pour moi, ChatGPT est un moteur de recherche hyper puissant.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Rapidité d'obtention des informations,"""C’était plus rapide de demander à ChatGPT.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Alternative à la recherche dans les notes de cours,"""Ça prendrait beaucoup de temps de retrouver dans quel module ce cours se trouvait, et en quelle année.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Efficience dans l'obtention d'informations,"""Oui, elles étaient efficaces. J’ai obtenu les informations dont j’avais besoin.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Utilisation pour éviter de réciter un texte mot pour mot,"""Je ne voulais pas qu’il me donne un texte à réciter mot pour mot.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Aide à la formulation de questions de recherche,"""Je co-construisais cette question avec ChatGPT, en ajustant au fur et à mesure.""",Lau5_segment_2.txt
Lau5,Avantages et limites de ChatGPT dans les études,Potentiel pour une utilisation future dans différents contextes,"""Je pense que je pourrais envisager de l’utiliser plus souvent pour ce genre de tâche.""",Lau5_segment_2.txt
Lau5,Changements dans les habitudes et les perceptions**,Changement dans la manière de travailler,"""Ça a clairement modifié ma façon de travailler.""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Diminution de la procrastination,"""Avant, j’avais tendance à repousser les échéances""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Gain de confiance,"""Maintenant, je commence mes travaux beaucoup plus tôt""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Perception de ChatGPT comme un outil précieux,"""C’est vraiment une aide précieuse.""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Changement dans la gestion du temps,"""Ça m’aide à mieux gérer mon temps personnel également.""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Proactivité accrue,"""Pour des travaux plus impliquants, je suis plus proactive.""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Meilleure organisation,"""Ça me permet de mieux comprendre les consignes et de me donner des idées""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Utilisation de ChatGPT pour les tâches simples,"""Pour des travaux où je dois juste écrire ou expliquer une scène, je peux m’y mettre tout de suite""",Lau5_segment_3.txt
